ID,Author,*,/,>,<,[,],"""",4,0,5,@,9,1,6,2,),?,.,(,$
1108,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.016867469879518072,0.016932752781809383,0.00015141191611779854,0.006048387096774193,0.017873100983020553,0.0045662100456621,0.2727272727272727,0.035527690700104496,0.033229491173416406,0.0049504950495049506,0.02570694087403599,0.02331002331002331,0.016012103637395195,0.012845566038396615,0.02097902097902098,0.0
1109,"Shakespeare, William",0.2340425531914893,0.0,0.03636363636363636,0.034188034188034185,0.0327710843373494,0.03289791969037252,0.0006561183031771268,0.0,0.0160857908847185,0.0045662100456621,0.2727272727272727,0.03866248693834901,0.032191069574247146,0.0049504950495049506,0.023136246786632387,0.022144522144522148,0.018974973208094305,0.01595539772926254,0.01981351981351981,0.0
1110,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.014457831325301203,0.01451378809869376,0.0,0.004032258064516129,0.01966041108132261,0.0045662100456621,0.2727272727272727,0.035527690700104496,0.04257528556593977,0.007425742574257426,0.026992287917737792,0.02331002331002331,0.013112273844796064,0.009441561079475809,0.02097902097902098,0.0
1111,"Shakespeare, William",0.2340425531914893,0.0,0.03636363636363636,0.034188034188034185,0.017349397590361446,0.01741654571843251,0.00020188255482373133,0.008064516129032258,0.013404825737265414,0.0045662100456621,0.2727272727272727,0.035527690700104496,0.04049844236760125,0.0099009900990099,0.028277634961439587,0.022144522144522148,0.014814347853495552,0.010541208771966688,0.01981351981351981,0.0
1112,"Shakespeare, William",0.7872340425531915,0.07246376811594203,0.004545454545454545,0.004273504273504274,0.046265060240963864,0.04499274310595065,0.00010094127741186572,0.01411290322580645,0.004468275245755139,0.02511415525114155,0.09090909090909093,0.007314524555903867,0.07995846313603322,0.012376237623762377,0.02056555269922879,0.025641025641025644,0.023387757675092984,0.018336800375421125,0.025641025641025644,0.029411764705882356
1113,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.02024096385542169,0.020319303338171262,0.0,0.004032258064516129,0.013404825737265414,0.00684931506849315,0.2727272727272727,0.035527690700104496,0.03946002076843198,0.007425742574257426,0.023136246786632387,0.02331002331002331,0.011347160057996596,0.009273462069158734,0.02097902097902098,0.0
1114,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.027272727272727268,0.025641025641025644,0.017831325301204817,0.01790033865505563,0.00040376510964746265,0.006048387096774193,0.01161751563896336,0.01141552511415525,0.2727272727272727,0.027168234064785798,0.033229491173416406,0.0049504950495049506,0.02056555269922879,0.01864801864801865,0.012860114732396141,0.011325670820113043,0.017482517482517484,0.0
1115,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.030361445783132532,0.02951136913401064,0.0,0.0,0.016979445933869526,0.0091324200913242,0.2727272727272727,0.035527690700104496,0.04569055036344755,0.0049504950495049506,0.03084832904884318,0.038461538461538464,0.02080312677299376,0.016214550370168033,0.03496503496503496,0.0
1116,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.045454545454545456,0.042735042735042736,0.038072289156626506,0.0382196419932269,0.0,0.008064516129032258,0.0160857908847185,0.01141552511415525,0.2727272727272727,0.04284221525600836,0.050882658359293884,0.017326732673267325,0.03213367609254498,0.02797202797202797,0.021118325663493663,0.017755457964741234,0.025641025641025644,0.0
1117,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.02506024096385542,0.025157232704402517,0.0,0.0,0.016979445933869526,0.00228310502283105,0.2727272727272727,0.035527690700104496,0.037383177570093455,0.0049504950495049506,0.023136246786632387,0.02331002331002331,0.01954233121099413,0.015934385352972903,0.02097902097902098,0.0
1118,"Shakespeare, William",0.7872340425531915,0.10386473429951693,0.027272727272727268,0.025641025641025644,0.04530120481927711,0.04644412191582003,7.570595805889927e-05,0.028225806451612906,0.02680965147453083,0.02968036529680365,0.09090909090909093,0.04597701149425288,0.08203530633437175,0.02475247524752475,0.04241645244215938,0.04195804195804195,0.019164092542394248,0.018560932389177227,0.043123543123543134,0.029411764705882356
1119,"Shakespeare, William",0.9787234042553192,0.014492753623188403,0.040909090909090916,0.038461538461538464,0.015421686746987953,0.015481373971940009,0.0014888838418250186,0.0,0.014298480786416441,0.01141552511415525,0.2727272727272727,0.0438871473354232,0.04672897196261682,0.0049504950495049506,0.029562982005141382,0.024475524475524483,0.013238353400996028,0.0128175495366771,0.022144522144522148,0.0
1120,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.010120481927710845,0.010159651669085631,0.002397355338531809,0.0,0.01966041108132261,0.00228310502283105,0.2727272727272727,0.03657262277951934,0.03426791277258567,0.0049504950495049506,0.026992287917737792,0.026806526806526808,0.01828153564899452,0.014869758287631412,0.024475524475524483,0.0
1121,"Shakespeare, William",0.7978723404255319,0.07246376811594203,0.031818181818181815,0.02991452991452992,0.016867469879518072,0.016932752781809383,0.0006056476644711937,0.01411290322580645,0.007149240393208221,0.0273972602739726,0.09090909090909093,0.031347962382445145,0.08515057113187954,0.017326732673267325,0.021850899742930592,0.01981351981351981,0.01821849587089453,0.01460360152129604,0.01981351981351981,0.029411764705882356
1122,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.054545454545454536,0.05128205128205129,0.058795180722891575,0.057087566521528785,2.523531935296646e-05,0.0020161290322580645,0.021447721179624662,0.0,0.2727272727272727,0.05120167189132707,0.0529595015576324,0.007425742574257426,0.03598971722365038,0.08275058275058275,0.028557019479291432,0.021943924971808398,0.08158508158508157,0.0
1123,"Shakespeare, William",0.946808510638298,0.009661835748792268,0.03636363636363636,0.034188034188034185,0.034698795180722886,0.03483309143686502,0.0,0.0,0.0160857908847185,0.0,0.2727272727272727,0.03657262277951934,0.03426791277258567,0.007425742574257426,0.028277634961439587,0.02331002331002331,0.018659774317594403,0.014540564392427138,0.02097902097902098,0.0
