ID,Author,"""",?,/,@,_,*,;,!,',.
21366,"Fenn, George Manville",0.1454379334689979,0.12686139747995415,0.14044943820224715,0.16666666666666666,0.017560603168543614,0.007662835249042149,0.07116692830978545,0.07806312931327072,0.113082668851839,0.0671559934918923
21367,"Fenn, George Manville",0.11953707933607433,0.11731576937762506,0.14044943820224715,0.16666666666666666,0.018324107654132463,0.007662835249042149,0.07139949997092854,0.08281479805407851,0.11620284282517568,0.0553828997641725
21368,"Fenn, George Manville",0.05365671331865941,0.043814432989690726,0.14044943820224715,0.16666666666666666,0.02080549723229624,0.007662835249042149,0.039769754055468336,0.030546441905192893,0.044690976709004376,0.032156633333942704
21372,"Fenn, George Manville",0.09960269667898723,0.08953799159984728,0.14044943820224715,0.16666666666666666,0.037602595915251,0.007662835249042149,0.07227164370021512,0.0772711845231361,0.06643764379589649,0.04813440339299098
21373,"Fenn, George Manville",0.11675457175685593,0.10500190912562048,0.14044943820224715,0.16666666666666666,0.03054017942355412,0.007662835249042149,0.057212628641200074,0.07546102500282836,0.10107472659081597,0.053408530008592164
21374,"Fenn, George Manville",0.08772512701247284,0.08953799159984728,0.14044943820224715,0.16666666666666666,0.04409238404275625,0.007662835249042149,0.04895633467062038,0.08960289625523249,0.07639698698351666,0.043554962432131035
21375,"Fenn, George Manville",0.10808865262953887,0.0760786559755632,0.14044943820224715,0.16666666666666666,0.021187249475090663,0.007662835249042149,0.04453747310890168,0.05600181015952031,0.07787828169813105,0.04831721540739657
21376,"Fenn, George Manville",0.0405055580934978,0.03130966017563956,0.14044943820224715,0.16666666666666666,0.014888337468982632,0.007662835249042149,0.017791732077446363,0.045932797827808576,0.028680387027640326,0.01848229465640482
21377,"Fenn, George Manville",0.06248875230145216,0.05584192439862543,0.14044943820224715,0.16666666666666666,0.018324107654132463,0.007662835249042149,0.04023489737775452,0.050797601538635585,0.05704560496706481,0.03377451966143215
21379,"Fenn, George Manville",0.07714882954718498,0.0728331424207713,0.14044943820224715,0.16666666666666666,0.01546096583317427,0.007662835249042149,0.029885458456887032,0.061432288720443484,0.0620252765608749,0.0369371675106488
