ID,Author,/,*,0,_,9,1,<,>,],[,4,"""",m_M,o_O,e_E
7101,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.003073140749846341,0.0,0.0,0.037096774193548385,0.0,0.0,0.0,0.0,0.015296367112810709,0.0199122149662777,0.010886915971661734,0.014505179060211738,0.013060414473728318
7102,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.003073140749846341,0.0,0.0,0.03387096774193549,0.0,0.0,0.0,0.0,0.015296367112810709,0.04581950540627342,0.010339879831405257,0.01314611237068227,0.01203685700812812
7103,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.004302397049784879,0.0,0.0,0.03387096774193549,0.0,0.0,0.0,0.0,0.026768642447418736,0.054705063697676914,0.01620482467940095,0.020636856110401943,0.0188844117561609
7104,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.005531653349723415,0.0,0.0,0.03467741935483872,0.0,0.0,0.0,0.0,0.02294455066921606,0.032223530671234346,0.011505694556542014,0.014238446345444272,0.01474101537794524
7105,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.003073140749846341,0.0,0.0,0.03387096774193549,0.0,0.0,0.0,0.0,0.015296367112810709,0.06466117118081575,0.01155053358443189,0.015254570973129856,0.014515296373522491
7106,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.003073140749846341,0.0,0.0,0.03387096774193549,0.0,0.0,0.0,0.0,0.015296367112810709,0.05855904078792421,0.012169312169312168,0.015276798699360475,0.013350943885361564
7107,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.003073140749846341,0.0,0.0,0.03467741935483872,0.0,0.0,0.0,0.0,0.017208413001912046,0.06112835884808907,0.015756434400502197,0.01959850375648573,0.017782634833582518
7119,"Hawthorne, Nathaniel",0.026570048309178744,0.042553191489361715,0.001843884449907806,0.0005649717514124294,0.005224660397074192,0.04596774193548387,0.0,0.0,0.0004837929366231253,0.0004819277108433735,0.02103250478011472,0.03093887164115192,0.017738319433234687,0.019468312788563518,0.02237746922064368
7154,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.0,0.0005649717514124294,0.0010449320794148377,0.04112903225806452,0.0,0.0,0.0,0.0,0.02294455066921606,0.0184134460978482,0.006645143933279526,0.007157327846260344,0.007944861987355264
7155,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.0,0.0,0.0,0.035483870967741936,0.0,0.0,0.0,0.0,0.015296367112810709,0.019055775612889413,0.00783786207515021,0.007401832834797188,0.008470049769923053
7156,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.0,0.0,0.0,0.03629032258064517,0.0,0.0,0.0,0.0,0.015296367112810709,0.018627555936195268,0.007147341045646132,0.007458989845104501,0.008550504068529183
7157,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.00799016594960049,0.0005649717514124294,0.0,0.035483870967741936,0.0,0.0,0.0,0.0,0.028680688336520068,0.0329729151054491,0.010842076943771858,0.01049466217031519,0.011594358365794408
7158,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.0,0.0,0.0,0.03629032258064517,0.0,0.0,0.0,0.0,0.017208413001912046,0.029761267530243017,0.00918303291184647,0.009440432869091395,0.010698186872987243
7159,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.0,0.0016949152542372885,0.004179728317659353,0.03387096774193549,0.0,0.0,0.0,0.0,0.017208413001912046,0.023766192056525002,0.008761546049681644,0.009678587078705204,0.010930610402293841
7160,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.0024585125998770746,0.0,0.0,0.03467741935483872,0.0,0.0,0.0,0.0,0.017208413001912046,0.03104592656032545,0.008842256299883418,0.009218155606785171,0.010139476466000236
7161,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.004302397049784879,0.0011299435028248588,0.003134796238244515,0.040322580645161296,0.0,0.0,0.0,0.0,0.017208413001912046,0.02012632480462477,0.009407228051295848,0.009824654993935006,0.011171973298112228
7162,"Twain, Mark",0.05797101449275361,0.05319148936170212,0.012292562999385371,0.0011299435028248588,0.01044932079414838,0.049193548387096775,0.0,0.0,0.0,0.0,0.030592734225621414,0.02012632480462477,0.01036678324813918,0.011901359701767422,0.01290844524302785
7183,"Hawthorne, Nathaniel",0.026570048309178744,0.05319148936170212,0.0024585125998770746,0.04858757062146893,0.0010449320794148377,0.07983870967741935,0.0,0.0,0.03918722786647315,0.03903614457831325,0.059273422562141485,0.24023123862541484,0.09548919379427853,0.10083131696102528,0.11907683162032726
7193,"Twain, Mark",0.05797101449275361,0.06382978723404256,0.0,0.0,0.00626959247648903,0.03951612903225807,0.0,0.0,0.0009675858732462508,0.000963855421686747,0.015296367112810709,0.030617706883631305,0.007317729351627656,0.00860848083017382,0.008172815833405966
