ID,Author,;,"""",!,-,?
10363,"Cooper, James Fenimore",0.04337461480318623,0.2153268869966806,0.1051023871478674,0.06936311226111036,0.072737686139748
10371,"Oppenheim, E. Phillips (Edward Phillips)",0.0019768591197162626,0.16445374512916724,0.05362597578911641,0.06001180262381407,0.058705612829324176
10375,"MacDonald, George",0.07134135705564276,0.01739067686534853,0.05351284081909718,0.06387035271687322,0.0308323787705231
10395,"Van Dyke, Henry",0.002442002442002442,0.004365709337566748,0.0010182147301730964,0.01066775613963412,0.004963726613211149
1041,"Shakespeare, William",0.0175010175010175,0.0007937653341030451,0.01120036203190406,0.008443415497752963,0.009259259259259259
10432,"Baum, L. Frank (Lyman Frank)",0.013140298854584568,0.1352287487371915,0.0205905645435004,0.03953878977711199,0.035891561664757536
10434,"Cooper, James Fenimore",0.10872725158439443,0.1853081252706018,0.06810725195157823,0.1841663262063644,0.0682512409316533
10446,"Doyle, Arthur Conan",0.00959358102215245,0.1001587530668206,0.04084172417694309,0.06241772209360389,0.036846124474990465
1045,"Shakespeare, William",0.015117157974300832,0.0008659258190215037,0.006335558321077044,0.006128285441917472,0.005822833142420772
1046,"Wells, H. G. (Herbert George)",0.0141287284144427,0.01277240583056718,0.0007919447901346306,0.01616051568387126,0.004200076365024819
10466,"Burnett, Frances Hodgson",0.00866329437758009,0.05473372781065088,0.02228758909378889,0.022606564074628903,0.015368461244749906
10468,"Baum, L. Frank (Lyman Frank)",0.017675446246874817,0.08251551450425748,0.016065165742731074,0.031140768986336193,0.0330278732340588
1047,"Wells, H. G. (Herbert George)",0.035002035002035005,0.1322701688555347,0.05815137458988572,0.13128149257796545,0.03827796869033983
1048,"Van Dyke, Henry",0.025873597302168733,0.04246644537451291,0.025002828374250483,0.056425620772617924,0.029305078274150437
1051,"Carlyle, Thomas",0.1003546717832432,0.0396161062202338,0.041294264057020025,0.09587362113577558,0.05106911034746087
10521,"Crawford, F. Marion (Francis Marion)",0.03029245886388744,0.0029224996391975754,0.04321755854734698,0.04584865404693813,0.05202367315769378
1053,"Conrad, Joseph",0.014477585906157334,0.05336267859720017,0.03597692046611607,0.06450587861455355,0.024532264222985874
10534,"Oppenheim, E. Phillips (Edward Phillips)",0.0021512878655735802,0.18498340308846875,0.03688200022626994,0.0438512869399428,0.05641466208476518
10537,"Oppenheim, E. Phillips (Edward Phillips)",0.004186289900575615,0.16730408428344634,0.03280914130557755,0.02392301057696673,0.04419625811378389
10540,"Wiggin, Kate Douglas Smith",0.03337403337403337,0.10048347524895368,0.09175246068559792,0.038676290344545824,0.032359679266895765
10545,"Cooper, James Fenimore",0.09029594743880458,0.11895655938807907,0.04615906776784704,0.09905125062417723,0.025964108438335243
10548,"Quiller-Couch, Arthur",0.020001162858305714,0.050945302352431804,0.02432401855413508,0.061555222661037724,0.0176594119893089
10554,"Wodehouse, P. G. (Pelham Grenville)",0.0019768591197162626,0.1896016741232501,0.01697024550288494,0.07508284534023334,0.08113783886979764
1056,"London, Jack",0.026048026048026047,0.15972723336700825,0.025907908134404342,0.116165055154569,0.05097365406643757
10564,"Jacobs, W. W. (William Wymark)",0.0009302866445723588,0.012880646557944868,0.0021495644303654252,0.006082890734940307,0.00429553264604811
10565,"Jacobs, W. W. (William Wymark)",0.0010465724751439038,0.005231635156588252,0.0019232944903269601,0.003631576558173317,0.0020045819014891182
10567,"Jacobs, W. W. (William Wymark)",0.001104715390429676,0.0055563573387213145,0.0009050797601538637,0.005084207181442643,0.003913707521954945
10568,"Jacobs, W. W. (William Wymark)",0.001221001221001221,0.0137826526194256,0.0009050797601538637,0.004403286576785147,0.003150057273768614
10573,"Jacobs, W. W. (William Wymark)",0.014303157160300015,0.1154206956270746,0.0205905645435004,0.04108220981433565,0.03875525009545628
10575,"Oppenheim, E. Phillips (Edward Phillips)",0.0013954299668585382,0.18101457641795352,0.035637515556058375,0.044078260474828636,0.056891943489881636
10578,"MacDonald, George",0.0932030932030932,0.014035214316640206,0.05351284081909718,0.05524535839121159,0.018804887361588397
10581,"Doyle, Arthur Conan",0.004942147799290656,0.0016236109106653196,0.02432401855413508,0.0295065595351582,0.0286368843069874
10586,"Wodehouse, P. G. (Pelham Grenville)",0.0067445781731496025,0.123033626785972,0.027944337594750537,0.035135503200326844,0.04973272241313478
