ID,Author,/,_,*,e_E,t_T,n_N,a_A,i_I,h_H,s_S
42910,"Lang, Andrew",0.0898876404494382,0.11681618629509448,0.007662835249042149,0.07679391194503496,0.07783920489155159,0.0759167405839933,0.07447126330211906,0.07279917062205353,0.06806928886970916,0.07912216400962381
43035,"Churchill, Winston",0.17415730337078653,0.013361328497804923,0.01839080459770115,0.02926399323940686,0.03005713492632602,0.030323340241122963,0.031145587593960432,0.030149171724949717,0.024093497028183787,0.03055561801542508
43067,"Henty, G. A. (George Alfred)",0.17415730337078653,0.0,0.01455938697318008,0.017985334442493145,0.0190573122682026,0.017240967833035675,0.018764615590650145,0.01626872166308727,0.019048393384659967,0.017469026150698175
432,"James, Henry",0.12921348314606745,0.0007635044855888527,0.007662835249042149,0.0989110867565438,0.10632339447772818,0.08792515721519291,0.09596927334974743,0.09495936328799427,0.10795479420355117,0.10302430688282778
43253,"Burnand, F. C. (Francis Cowley)",0.0898876404494382,0.02443214353884329,0.1302681992337165,0.005027530931034026,0.005261656373127309,0.005240506429813011,0.0053414511028010425,0.005552581077910594,0.0045072372220241715,0.006068850763384525
43469,"Howells, William Dean",0.10112359550561796,0.2521473563657186,0.027586206896551724,0.019226537088631552,0.02383474821308783,0.02147911553775352,0.02182423174789587,0.02240884562862076,0.019083834195378936,0.02284307332538844
4356,"Baum, L. Frank (Lyman Frank)",0.1348314606741573,0.0,0.011494252873563218,0.032277870941333366,0.03421618745807407,0.029947455719212274,0.0304467863728611,0.030034871572750036,0.031094099521966005,0.029534773907764263
4357,"Baum, L. Frank (Lyman Frank)",0.14044943820224715,0.0,0.03448275862068965,0.01882050537194266,0.018378786827353832,0.017730214353617837,0.01825811347707692,0.01695251731045726,0.018835748520346158,0.017628673577226632
4358,"Baum, L. Frank (Lyman Frank)",0.1348314606741573,0.0,0.007662835249042149,0.026249015180524558,0.02463664191590911,0.021934552339433668,0.025484782616160682,0.02253317210996076,0.022521592835118932,0.02500393497178063
436,"Baum, L. Frank (Lyman Frank)",0.12921348314606745,0.0,0.007662835249042149,0.02206875910545381,0.022025861071915988,0.02042902544479669,0.02000597500798385,0.020788590839544645,0.020718280995594918,0.0205495469161064
43678,"Scott, Walter",0.1797752808988764,0.014124832983393775,0.026819923371647517,0.06698202897019792,0.06497652147764336,0.06454871980493783,0.06307239031224568,0.06423468027039005,0.06528405809791253,0.06852697142086209
43936,"Baum, L. Frank (Lyman Frank)",0.0898876404494382,0.004581026913533117,0.011494252873563218,0.02255291616600425,0.02350165390576207,0.01975680868074477,0.02248869384265125,0.019192399240405302,0.02396632706030984,0.02050907292064848
