ID,Author,/,w_W,h_H,e_E,u_U
22576,"Seaman, Owen",0.012520193861066236,0.013938451556609579,0.01348680876938148,0.014513608474487391,0.013552405998122677
22578,"Wiggin, Kate Douglas Smith",0.012520193861066236,0.010213327665477162,0.009990541499172379,0.010733651476217946,0.00792819629655488
22610,"Seaman, Owen",0.023828756058158318,0.012775049500520174,0.012853427017532006,0.0145912213540301,0.014017857835493806
22625,"Bell, George",0.01211631663974152,0.011801818934368465,0.013609262574739048,0.01606167077455556,0.014475552142242082
22645,"Burnand, F. C. (Francis Cowley)",0.0117124394184168,0.009251283657557079,0.008301523494240449,0.008468194451727936,0.008719464420085797
22646,"Ellis, Edward Sylvester",0.0117124394184168,0.10036580045417426,0.10166621626186537,0.08558812732707535,0.06528737772192356
22653,"Seaman, Owen",0.0117124394184168,0.012439452753571308,0.013799277100293888,0.014456972048875137,0.012512896894660492
22654,"Le Queux, William",0.0117124394184168,0.07071023458212611,0.07333716177414451,0.07356232628874089,0.0596088653059958
22669,"Alger, Horatio, Jr.",0.0117124394184168,0.04844898370118466,0.04584417119886498,0.04563008023493628,0.04652191114524425
22672,"Seaman, Owen",0.0117124394184168,0.011913684516684751,0.011979360199979732,0.013515129267397345,0.011985384812306548
22687,"Seaman, Owen",0.02019386106623586,0.011857751725526607,0.012148262000472924,0.01237191252818711,0.01177593148548954
22688,"Seaman, Owen",0.0117124394184168,0.011555714653272629,0.012570516501705908,0.013024280245424513,0.011512175444312569
22691,"Burnand, F. C. (Francis Cowley)",0.02019386106623586,0.008512970814269574,0.007849711177921156,0.008038177146153442,0.009774488584793687
22697,"Seaman, Owen",0.02019386106623586,0.011455035629187968,0.012046920920177008,0.01310399077036027,0.011364782362478376
22698,"Burnand, F. C. (Francis Cowley)",0.020597738287560584,0.008781448211828666,0.008212850048981523,0.00886884472179978,0.009409884645519638
22720,"Le Queux, William",0.0117124394184168,0.09311691072007876,0.09375316690875923,0.09871309455136608,0.08373478554306593
2275,"Cooper, James Fenimore",0.0044426494345718905,0.1907643775239672,0.215843833395264,0.2019529078609261,0.1705725833352727
22759,"Verne, Jules",0.01009693053311793,0.08044254024364324,0.07749214606627708,0.07753316901777754,0.057273848588517313
2277,"Harte, Bret",0.009693053311793216,0.03379459241775083,0.0393076715197784,0.03989092243956159,0.032814354534664525
2278,"Harte, Bret",0.009693053311793216,0.03340306287964382,0.03432929095024153,0.03326655828832136,0.03005267363292917
2279,"Harte, Bret",0.009693053311793216,0.03953329679057645,0.043340202006553384,0.04214169594630028,0.0352657342114858
22797,"Morley, John",0.0117124394184168,0.09454879017372723,0.11315998378542715,0.115878126802664,0.10060741464776933
2280,"Harte, Bret",0.009693053311793216,0.02974505833790118,0.0336030132081208,0.031804499449368084,0.02968031216303227
22805,"Seaman, Owen",0.020597738287560584,0.01229402749656013,0.012600074316792215,0.013538203366720855,0.012590472200889014
2281,"Harte, Bret",0.009693053311793216,0.05227478661640174,0.05727460054724182,0.057120981698043936,0.0503386162116875
22816,"Burgess, Thornton W. (Thornton Waldo)",0.0117124394184168,0.01972190216236171,0.019630611762321386,0.017846767004037964,0.015375425694492928
2282,"Cooper, James Fenimore",0.0044426494345718905,0.039510923674113185,0.04732206195318042,0.047463422308458764,0.043287020875514906
2286,"Harte, Bret",0.009693053311793216,0.025796203282136183,0.029709826706752693,0.029580995332739,0.025243004646760846
22865,"Morley, John",0.01211631663974152,0.030908460393990582,0.03639411546127082,0.039702134354187416,0.033535804882589774
2287,"Oppenheim, E. Phillips (Edward Phillips)",0.009693053311793216,0.0987884957435146,0.09941137722528122,0.09854947821070847,0.0854724724025848
22873,"Seaman, Owen",0.0117124394184168,0.011857751725526607,0.012144039455460595,0.0130872096072159,0.011721628771129576
22879,"Crawford, F. Marion (Francis Marion)",0.02019386106623586,0.16983432707258958,0.18558929838192076,0.1788494415019141,0.150674517287657
2291,"MacDonald, George",0.009693053311793216,0.1975098721376394,0.22289970611086712,0.1930924537206985,0.17626661081244618
22956,"Abbott, Jacob",0.0117124394184168,0.052554450572192456,0.0516501705908185,0.05188525879700037,0.03660002947861637
2297,"Harte, Bret",0.009693053311793216,0.03641224704395199,0.039223220619531804,0.03891971262258116,0.03355131994383548
22972,"Abbott, Jacob",0.0117124394184168,0.05158122000604075,0.04643955004560349,0.048294089884105086,0.03333410908639562
22988,"Seaman, Owen",0.020597738287560584,0.011264864139250277,0.012612741951829206,0.01302008495463842,0.011589750750541087
22992,"Seaman, Owen",0.02019386106623586,0.013065900014542524,0.012342499071040096,0.01255231003198909,0.011659568526146757
22996,"Stratemeyer, Edward",0.02261712439418417,0.07939100376987013,0.07140745870350979,0.06888247941685458,0.06064061687883514
23000,"Trollope, Anthony",0.01615508885298869,0.3741791862897542,0.3943688139715569,0.3234590172531333,0.3046847727431404
23022,"Meade, L. T.",0.0117124394184168,0.09149485977649256,0.083994865385265,0.0844616917510095,0.07882426865880053
23026,"Ellis, Edward Sylvester",0.0117124394184168,0.07529672345709396,0.07726835118062357,0.06879857360113273,0.051921152458749335
23027,"Bell, George",0.0117124394184168,0.023827369033369503,0.0274887680302672,0.031947139336095234,0.02776420209918779
2303,"Dickens, Charles",0.011308562197092085,0.04070788540489748,0.04002550417187447,0.03844774240914574,0.02616615079088025
23030,"Howells, William Dean",0.012520193861066236,0.007931269786224871,0.009133364861669423,0.007780166762808746,0.006624931151915722
