ID,Author,/,%,*,:,?,"""",',!,@,>,#,_,<,(,;
7105,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.04871373836891078,0.012600229095074456,0.06466117118081575,0.024262316182385685,0.011087227061884829,0.09090909090909093,0.0,0.0,0.0,0.0,0.012779552715654952,0.011570440141868713
7106,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.040503557744937066,0.011454753722794959,0.05855904078792421,0.022202915339318462,0.006788098201153976,0.09090909090909093,0.0,0.0,0.0,0.0,0.012779552715654952,0.01436130007558579
7107,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.04324028461959497,0.009450171821305843,0.06112835884808907,0.033465263699842325,0.01120036203190406,0.09090909090909093,0.0,0.0,0.0,0.0,0.009584664536741214,0.016803302517588232
7119,"Hawthorne, Nathaniel",0.026570048309178744,0.0,0.042553191489361715,0.008210180623973728,0.0013363879343260786,0.03093887164115192,0.004344048653344917,0.007240638081230908,0.0,0.0,0.0,0.0005649717514124294,0.0,0.04792332268370608,0.006570149427292284
7154,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.008210180623973728,0.003245513554791905,0.0184134460978482,0.002574251053834025,0.005656748500961647,0.09090909090909093,0.0,0.0,0.0005649717514124294,0.0,0.014376996805111819,0.003546717832432118
7155,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.012041598248494802,0.004104620084001528,0.019055775612889413,0.003153457540946681,0.004864803710827015,0.09090909090909093,0.0,0.0,0.0,0.0,0.009584664536741214,0.004128146985289842
7156,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.008210180623973728,0.0024818633066055746,0.018627555936195268,0.003282170093638382,0.007919447901346306,0.09090909090909093,0.0,0.0,0.0,0.0,0.014376996805111819,0.0043025757311471605
7157,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.006568144499178981,0.0043909889270714025,0.0329729151054491,0.0049554332786304976,0.010295282271750198,0.09090909090909093,0.0,0.0,0.0005649717514124294,0.0,0.014376996805111819,0.005581719867434153
7158,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.006020799124247401,0.004104620084001528,0.029761267530243017,0.0035395951990217843,0.008145717841384773,0.09090909090909093,0.0,0.0,0.0,0.0,0.011182108626198084,0.006105006105006105
7159,"Twain, Mark",0.05797101449275361,0.0,0.05319148936170212,0.0043787629994526565,0.004200076365024819,0.023766192056525002,0.002574251053834025,0.0092770675415771,0.09090909090909093,0.0,0.0,0.0016949152542372885,0.0,0.009584664536741214,0.009826152683295541
